iter	Passed	Remaining
658	22996	11899
659	23029	11863
660	23061	11827
661	23096	11792
662	23141	11762
663	23179	11729
664	23209	11692
665	23247	11658
666	23275	11620
667	23303	11581
668	23337	11546
669	23371	11511
670	23400	11473
671	23429	11435
672	23460	11398
673	23494	11363
674	23533	11331
675	23559	11291
676	23606	11262
677	23639	11227
678	23680	11195
679	23714	11159
680	23741	11121
681	23782	11089
682	23810	11051
683	23846	11016
684	23872	10978
685	23903	10941
686	23937	10905
687	23963	10867
688	23987	10827
689	24021	10792
690	24051	10755
691	24085	10720
692	24116	10683
693	24152	10649
694	24178	10610
695	24210	10574
696	24244	10539
697	24288	10508
698	24331	10477
699	24362	10440
700	24389	10402
701	24425	10368
702	24454	10331
703	24486	10295
704	24516	10258
705	24547	10222
706	24582	10187
707	24619	10153
708	24647	10116
709	24678	10079
710	24706	10042
711	24740	10007
712	24773	9972
713	24811	9938
714	24839	9900
715	24872	9865
716	24899	9828
717	24927	9790
718	24963	9756
719	25011	9726
720	25040	9689
721	25069	9652
722	25109	9619
723	25145	9585
724	25191	9555
725	25225	9520
726	25254	9483
727	25289	9448
728	25325	9414
729	25368	9382
730	25407	9349
731	25437	9313
732	25468	9277
733	25512	9245
734	25543	9209
735	25604	9184
736	25643	9150
737	25682	9117
738	25719	9083
739	25755	9049
740	25786	9012
741	25823	8979
742	25857	8943
743	25902	8912
744	25929	8875
745	25970	8842
746	25999	8805
747	26034	8770
748	26068	8736
749	26098	8699
750	26125	8662
751	26161	8627
752	26188	8590
753	26216	8553
754	26242	8515
755	26276	8480
756	26304	8443
757	26342	8410
758	26370	8373
759	26404	8338
760	26431	8300
761	26460	8264
762	26489	8228
763	26530	8195
764	26566	8160
765	26598	8125
766	26636	8091
767	26665	8055
768	26706	8022
769	26733	7985
770	26765	7949
771	26800	7915
772	26832	7879
773	26858	7842
774	26883	7804
775	26918	7770
776	26958	7737
777	26997	7703
778	27022	7666
779	27049	7629
780	27074	7591
781	27112	7558
782	27139	7521
783	27183	7489
784	27217	7454
785	27250	7419
786	27281	7383
787	27316	7349
788	27353	7315
789	27385	7279
790	27418	7244
791	27446	7208
792	27472	7171
793	27499	7134
794	27541	7101
795	27577	7067
796	27615	7033
797	27642	6997
798	27669	6960
799	27713	6928
800	27743	6892
801	27771	6856
802	27812	6823
803	27857	6791
804	27899	6758
805	27935	6723
806	27985	6692
807	28035	6661
808	28081	6629
809	28113	6594
810	28148	6559
811	28185	6525
812	28223	6491
813	28255	6456
814	28293	6422
815	28328	6387
816	28363	6353
817	28394	6317
818	28433	6283
819	28473	6250
820	28515	6217
821	28545	6181
822	28573	6145
823	28605	6109
824	28641	6075
825	28679	6041
826	28709	6005
827	28745	5971
828	28782	5937
829	28819	5902
830	28858	5868
831	28903	5836
832	28941	5802
833	28967	5765
834	29004	5731
835	29040	5696
836	29083	5663
837	29114	5628
838	29151	5594
839	29186	5559
840	29233	5526
841	29283	5494
842	29311	5459
843	29348	5424
844	29379	5389
845	29416	5354
846	29444	5318
847	29474	5283
848	29512	5249
849	29558	5216
850	29593	5181
851	29620	5145
852	29654	5110
853	29700	5077
854	29732	5042
855	29766	5007
856	29801	4972
857	29834	4937
858	29862	4901
859	29890	4865
860	29923	4830
861	29951	4795
862	29986	4760
863	30020	4725
864	30056	4690
865	30093	4656
866	30125	4621
867	30159	4586
868	30194	4551
869	30257	4521
870	30294	4486
871	30329	4452
872	30363	4417
873	30412	4384
874	30450	4350
875	30489	4315
876	30536	4282
877	30571	4247
878	30604	4212
879	30645	4178
880	30695	4146
881	30740	4112
882	30812	4082
883	30852	4048
884	30892	4014
885	30935	3980
886	30972	3945
887	31005	3910
888	31042	3875
889	31081	3841
890	31127	3807
891	31167	3773
892	31209	3739
893	31257	3706
894	31311	3673
895	31354	3639
896	31393	3604
897	31434	3570
898	31466	3535
899	31504	3500
900	31539	3465
901	31570	3430
902	31613	3395
903	31656	3361
904	31689	3326
905	31724	3291
906	31760	3256
907	31792	3221
908	31829	3186
909	31863	3151
910	31899	3116
911	31935	3081
912	31974	3046
913	32008	3011
914	32059	2978
915	32095	2943
916	32131	2908
917	32166	2873
918	32203	2838
919	32244	2803
920	32281	2769
921	32314	2733
922	32350	2698
923	32384	2663
924	32413	2628
925	32443	2592
926	32485	2558
927	32545	2525
928	32604	2491
929	32648	2457
930	32695	2423
931	32728	2387
932	32762	2352
933	32807	2318
934	32844	2283
935	32881	2248
936	32918	2213
937	32947	2177
938	32976	2142
939	33011	2107
940	33047	2072
941	33080	2036
942	33120	2001
943	33158	1967
944	33197	1932
945	33240	1897
946	33276	1862
947	33310	1827
948	33355	1792
949	33399	1757
950	33445	1723
951	33477	1687
952	33516	1652
953	33579	1619
954	33633	1584
955	33669	1549
956	33714	1514
957	33765	1480
958	33805	1445
959	33853	1410
960	33895	1375
961	33926	1340
962	33959	1304
963	33998	1269
964	34038	1234
965	34080	1199
966	34123	1164
967	34166	1129
968	34227	1095
969	34266	1059
970	34306	1024
971	34346	989
972	34382	954
973	34429	919
974	34470	883
975	34527	849
976	34575	813
977	34619	778
978	34655	743
979	34688	707
980	34750	673
981	34792	637
982	34836	602
983	34872	567
984	34911	531
985	34944	496
986	34978	460
987	35016	425
988	35069	390
989	35099	354
990	35139	319
991	35170	283
992	35211	248
993	35258	212
994	35296	177
995	35325	141
996	35357	106
997	35391	70
998	35429	35
999	35468	0
